Address,Area,Price,Lat,Lon
#305 - 9 Burnhamthorpe Cres Toronto,Islington,598000,43.649681,-79.530716
#Loft 2 - 2B Minto St Toronto,Leslieville,1369900,43.663742,-79.324966
#815 - 39 Queens Quay Way Toronto,Downtown,33,43.641346,-79.372421
#716 - 169 Fort York Blvd Toronto,Niagara,25,43.638512,-79.400894
#1605 - 61 Markbrook Lane Toronto,Rexdale,254900,43.759262,-79.585342
#1 - 105 Heath St Toronto,Midtown Toronto,105,43.689011,-79.400002
#514 - 210 Simcoe St Toronto,Downtown,33,43.652451,-79.388931
#724 - 2885 Bayview Ave Toronto,Bayview Village,559999,43.767936999999996,-79.387955
#402 - 323 Richmond St Toronto,Old Town,337000,43.653217,-79.368378
90 Browning Ave Toronto,Riverdale,1599000,43.682064000000004,-79.353073
#3307 - 21 Widmer St Toronto,Downtown,438000,43.647224,-79.391098
#1108 - 55 Bamburgh Circ Toronto,Steeles,329900,43.814667,-79.326698
42 Rovinelli Rd Toronto,Malvern,849000,43.815104999999996,-79.217415
#907 - 5791 Yonge St Toronto,Newtonbrook,389999,43.784409000000004,-79.416061
592 The Queensway Toronto,The Queensway,699900,43.628426,-79.49398000000001
44 Barkwood Cres Toronto,Hillcrest Village,17,43.805328,-79.355812
#3006 - 121 Mcmahon Dr Toronto,Bayview Village,25,43.767746,-79.370918
#2604 - 1 King St Toronto,Weston,319800,43.701572,-79.52018699999999
#713 - 15 Greenview Ave Toronto,Newtonbrook,560000,43.78017,-79.418251
#1711 - 45 Charles St Toronto,Downtown,448888,43.668777,-79.383995
#2011 - 215 Fort York Blvd Toronto,Niagara,399000,43.636345,-79.404808
#4004 - 21 Grenville St Toronto,Downtown,704900,43.661792999999996,-79.384506
#1310 - 8 Mercer St Toronto,Downtown,389000,43.645984999999996,-79.389938
#201 - 3 Pemberton Ave Toronto,Newtonbrook,283000,43.780453,-79.413811
#1103 - 3 Marine Parade Dr Toronto,Mimico,579000,43.630383,-79.47627299999999
61 Boydwood Lane Toronto,Rouge,3599000,43.806259000000004,-79.158813
75 Highland Cres Toronto,York Mills,8995000,43.743626,-79.391846
#816 - 210 Victoria St Toronto,Downtown,329000,43.654648,-79.37925
17 Tineta Cres Toronto,White Haven,650000,43.786873,-79.256088
#612 - 800 Lawrence Ave Toronto,Lawrence Heights,359000,43.714591999999996,-79.452911
#5 - 1500 Bathurst St Toronto,Casa Loma,35000,43.684158000000004,-79.419075
16 Stanley Avenue Kitchener,Bridgeport East,289500,43.482586,-80.470451
548 Pinnacle Drive Kitchener,Doon South,749900,43.377377,-80.413368
198 Newbury Drive Kitchener,Forest Heights,279900,43.423266999999996,-80.549805
1110 Fairway Road Kitchener,Grand River South,339500,43.44854,-80.402138
468 Doon South Drive Kitchener,Doon South,294900,43.378914,-80.43208299999999
202 Silver Aspen Crescent Kitchener,Forest Heights,155000,43.423897,-80.525352
205 Highland Crescent Kitchener,Victoria Hills,239000,43.433254,-80.523178
24 Mooregate Crescent Kitchener,Victoria Hills,129900,43.439213,-80.523491
92 Claycroft Crescent Kitchener,Forest Heights,534888,43.423058000000005,-80.536461
84 Bagot St Guelph,Onward Willow,319900,43.541809,-80.267944
326 Cole Rd Guelph,Hanlon Creek,313900,43.508049,-80.234413
33 Old Colony Tr Guelph,Guelph,564900,43.509789000000005,-80.240356
47 Edgehill Dr Guelph,Exhibition Park,439900,43.552586,-80.27005799999999
150 Victoria Rd Guelph,Guelph,1599905,43.563441999999995,-80.240593
183 ARTHUR ST N Guelph,Waverley,329500,43.550434,-80.251793
96 Silurian Drive Guelph,Grange Hill East,387900,43.565311,-80.217117
76 Washburn Drive Guelph,Grange Hill East,339900,43.572025,-80.231163
110 SIMMONDS Drive Guelph,Waverley,499900,43.580765,-80.265869
293 Paisley Road Guelph,Onward Willow,339900,43.540306,-80.263855
68 240 LONDON Road W Guelph,Exhibition Park,329900,43.543354,-80.264183
65 College Avenue W Guelph,Old University,699000,43.529175,-80.237
91 Conroy Crescent Guelph,Guelph,129900,43.509037,-80.251648
33 REID Court Guelph,Hanlon Creek,309900,43.513775,-80.23123199999999
200 Woolwich Street Guelph,Guelph,239900,43.548297999999996,-80.253639
41 1/2 Nottingham Street Guelph,Old City,254900,43.540684000000006,-80.24852800000001
215 Suffolk Street W Guelph,Exhibition Park,359900,43.543663,-80.262383
40 Silvercreek Parkway Guelph,Onward Willow,216900,43.534996,-80.27362099999999
31 Schroder Crescent Guelph,Grange Hill East,299900,43.558014,-80.227051
92 Arthur Street Guelph,Guelph,625000,43.548958,-80.24704
107 Ferguson Street Guelph,Two Rivers,287500,43.549145,-80.23741899999999
360 YORK RD Guelph,Two Rivers,474999,43.548512,-80.22879
